protocol, port, name
TCP/UDP,686,Hardware Control Protocol Wismar
TCP/UDP,687,asipregistry
TCP/UDP,688,REALM-RUSD
TCP/UDP,689,NMAP
TCP/UDP,690,VATP
TCP/UDP,691,MS Exchange Routing
TCP/UDP,692,Hyperwave-ISP
TCP/UDP,693,connendp
TCP/UDP,694,ha-cluster
TCP/UDP,695,IEEE-MMS-SSL
TCP/UDP,696,RUSHD
TCP/UDP,697,UUIDGEN
TCP/UDP,698,OLSR
TCP/UDP,704,errlog copy/server daemon
TCP/UDP,705,AgentX
TCP/UDP,706,SILC
TCP/UDP,707,W32.Nachi Worm / Borland DSJ
TCP/UDP,709,Entrust Key Management Service Handler
TCP/UDP,710,Entrust Administration Service Handler
TCP/UDP,711,Cisco TDP
TCP/UDP,729,IBM NetView DM/6000 Server/Client
TCP/UDP,730,IBM NetView DM/6000 send/tcp
TCP/UDP,731,IBM NetView DM/6000 receive/tcp
TCP/UDP,740,(old) NETscout Control Protocol (old)
TCP/UDP,741,netGW
TCP/UDP,742,Network based Rev. Cont. Sys.
TCP/UDP,744,Flexible License Manager
TCP/UDP,747,Fujitsu Device Control
TCP/UDP,748,Russell Info Sci Calendar Manager
TCP/UDP,749,kerberos administration
TCP/UDP,750,rfile
TCP/UDP,751,pump
TCP/UDP,752,Kerberos password server
TCP/UDP,753,Kerberos userreg server
TCP/UDP,754,send
TCP/UDP,758,nlogin
TCP/UDP,759,con
TCP/UDP,760,kreg
TCP/UDP,761,kpwd
TCP/UDP,762,quotad
TCP/UDP,763,cycleserv
TCP/UDP,764,omserv
TCP/UDP,765,webster
TCP/UDP,767,phone
TCP/UDP,769,vid
TCP/UDP,770,cadlock
TCP/UDP,771,rtip
TCP/UDP,772,cycleserv2
TCP/UDP,773,submit
TCP/UDP,774,rpasswd
TCP/UDP,775,entomb
TCP/UDP,776,wpages
TCP/UDP,777,Multiling HTTP
TCP/UDP,780,wpgs
TCP/UDP,781,HP performance data collector
TCP/UDP,782,node HP performance data managed node
TCP/UDP,783,HP performance data alarm manager
TCP/UDP,786,Concert
TCP/UDP,787,QSC
TCP,799,ControlIT / Remotely Possible
TCP/UDP,800,mdbs_daemon / Remotely Possible
TCP/UDP,801,device
TCP,808,CCProxy
TCP/UDP,810,FCP
TCP/UDP,828,itm-mcell-s
TCP/UDP,829,PKIX-3 CA/RA
TCP,871,SUP server
TCP/UDP,873,rsync
TCP/UDP,886,ICL coNETion locate server
TCP/UDP,887,ICL coNETion server info
TCP/UDP,888,CD Database Protocol
TCP/UDP,900,Check Point Firewall-1 HTTP administration / OMG Initial Refs
TCP/UDP,901,Samba Web Administration Tool / Realsecure / SMPNAMERES/ NetDevil trojan
TCP/UDP,902,VMware Authentication Daemon / IDEAFARM-CHAT
TCP/UDP,903,IDEAFARM-CATCH / NetDevil trojan
TCP/UDP,911,xact-backup
TCP,912,VMware Authentication Daemon
TCP/UDP,989,FTP protocol data over TLS/SSL
TCP/UDP,990,FTP protocol control over TLS/SSL
TCP/UDP,991,Netnews Administration System
TCP/UDP,992,Telnet protocol over TLS/SSL
